Feature0,Ranking0,Feature1,Ranking1,Feature2,Ranking2,Feature3,Ranking3,Feature4,Ranking4,Feature5,Ranking5,Feature6,Ranking6,Feature7,Ranking7,Feature8,Ranking8,Feature9,Ranking9,Feature10,Ranking10,Feature11,Ranking11,Feature12,Ranking12,Feature13,Ranking13,Feature14,Ranking14,Feature15,Ranking15
,,,,"('1year6Mth', 'W.P. Labuan')",30,,,"('4day', 'Selangor')",1,,,"('6day', 'Sabah')",15,,,,,"('3mth', 'Terengganu')",1,"('3week', 'Melaka')",1,"('5day', 'Selangor')",1,"('6day', 'Selangor')",1,,,"('cases_new', 'Terengganu')",28,,
,,,,"('1year6Mth', 'W.P. Putrajaya')",1,,,"('4day', 'Terengganu')",1,,,"('6day', 'Sarawak')",1,,,,,"('3week', 'Johor')",1,"('3week', 'Negeri Sembilan')",1,"('5day', 'Terengganu')",1,"('6day', 'W.P. Labuan')",1,,,,,,
,,,,"('1year7Mth', 'Johor')",23,,,"('4day', 'W.P. Kuala Lumpur')",1,,,"('6day', 'Selangor')",1,,,,,"('3week', 'Kedah')",1,"('3week', 'Pahang')",1,"('5day', 'W.P. Putrajaya')",1,"('6day', 'W.P. Putrajaya')",1,,,,,,
,,,,"('1year7Mth', 'Kedah')",1,,,"('4day', 'W.P. Labuan')",1,,,"('6day', 'Terengganu')",1,,,,,"('3week', 'Kelantan')",1,"('3week', 'Perak')",1,"('5mth', 'Melaka')",11,"('6mth', 'Johor')",1,,,,,,
,,,,"('1year7Mth', 'Kelantan')",1,,,"('4day', 'W.P. Putrajaya')",1,,,"('6day', 'W.P. Kuala Lumpur')",1,,,,,"('3week', 'Melaka')",1,"('3week', 'Perlis')",1,"('5mth', 'Pahang')",1,"('6mth', 'Kelantan')",1,,,,,,
,,,,"('1year7Mth', 'Negeri Sembilan')",1,,,"('4mth', 'Johor')",1,,,"('6day', 'W.P. Labuan')",1,,,,,"('3week', 'Negeri Sembilan')",1,"('3week', 'Pulau Pinang')",1,"('5mth', 'Perak')",29,"('6mth', 'Melaka')",8,,,,,,
,,,,"('1year7Mth', 'Pahang')",1,,,"('4mth', 'Kelantan')",1,,,"('6day', 'W.P. Putrajaya')",1,,,,,"('3week', 'Pahang')",1,"('3week', 'Sabah')",1,"('5mth', 'Sarawak')",1,"('6mth', 'Negeri Sembilan')",1,,,,,,
,,,,"('1year7Mth', 'Perak')",1,,,"('4mth', 'Melaka')",1,,,"('6mth', 'Johor')",1,,,,,"('3week', 'Perak')",1,"('3week', 'Sarawak')",1,"('5mth', 'Selangor')",1,"('6mth', 'Pahang')",1,,,,,,
,,,,"('1year7Mth', 'Perlis')",1,,,"('4mth', 'Negeri Sembilan')",1,,,"('6mth', 'Kedah')",1,,,,,"('3week', 'Perlis')",1,"('3week', 'Selangor')",1,"('5mth', 'W.P. Kuala Lumpur')",1,"('6mth', 'Perak')",1,,,,,,
,,,,"('1year7Mth', 'Pulau Pinang')",1,,,"('4mth', 'Pahang')",1,,,"('6mth', 'Melaka')",1,,,,,"('3week', 'Pulau Pinang')",1,"('3week', 'Terengganu')",1,"('5mth', 'W.P. Putrajaya')",1,"('6mth', 'Sabah')",27,,,,,,
,,,,"('1year7Mth', 'Sarawak')",24,,,"('4mth', 'Perak')",1,,,"('6mth', 'Negeri Sembilan')",1,,,,,"('3week', 'Sabah')",1,"('3week', 'W.P. Kuala Lumpur')",1,"('6day', 'Kedah')",1,"('6mth', 'Sarawak')",1,,,,,,
,,,,"('1year7Mth', 'Terengganu')",1,,,"('4mth', 'Perlis')",1,,,"('6mth', 'Pahang')",1,,,,,"('3week', 'Sarawak')",1,"('3week', 'W.P. Labuan')",1,"('6day', 'Kelantan')",1,"('6mth', 'Selangor')",1,,,,,,
,,,,"('1year7Mth', 'W.P. Labuan')",1,,,"('4mth', 'Pulau Pinang')",1,,,"('6mth', 'Perak')",1,,,,,"('3week', 'Selangor')",1,"('3week', 'W.P. Putrajaya')",18,"('6day', 'Negeri Sembilan')",1,"('6mth', 'W.P. Kuala Lumpur')",1,,,,,,
,,,,"('1year7Mth', 'W.P. Putrajaya')",1,,,"('4mth', 'Sabah')",1,,,"('6mth', 'Pulau Pinang')",1,,,,,"('3week', 'Terengganu')",1,"('4day', 'Johor')",15,"('6day', 'Pahang')",1,"('6mth', 'W.P. Labuan')",1,,,,,,
,,,,"('2day', 'Johor')",1,,,"('4mth', 'Sarawak')",1,,,"('6mth', 'Sabah')",1,,,,,"('3week', 'W.P. Kuala Lumpur')",1,"('4day', 'Kedah')",1,"('6day', 'Perlis')",1,"('7mth', 'Johor')",1,,,,,,
,,,,"('2day', 'Kedah')",1,,,"('4mth', 'Selangor')",1,,,"('6mth', 'Sarawak')",1,,,,,"('3week', 'W.P. Labuan')",1,"('4day', 'Kelantan')",1,"('6day', 'Pulau Pinang')",1,"('7mth', 'Kedah')",1,,,,,,
,,,,"('2day', 'Melaka')",1,,,"('4mth', 'W.P. Kuala Lumpur')",1,,,"('6mth', 'Selangor')",1,,,,,"('3week', 'W.P. Putrajaya')",1,"('4day', 'Melaka')",1,"('6day', 'Sabah')",1,"('7mth', 'Kelantan')",28,,,,,,
,,,,"('2day', 'Negeri Sembilan')",1,,,"('4mth', 'W.P. Labuan')",1,,,"('6mth', 'Terengganu')",1,,,,,"('4day', 'Johor')",1,"('4day', 'Negeri Sembilan')",1,"('6day', 'Sarawak')",22,"('7mth', 'Melaka')",26,,,,,,
,,,,"('2day', 'Pahang')",1,,,"('4mth', 'W.P. Putrajaya')",1,,,"('6mth', 'W.P. Kuala Lumpur')",1,,,,,"('4day', 'Kedah')",1,"('4day', 'Pahang')",1,"('6day', 'Terengganu')",1,"('7mth', 'Negeri Sembilan')",1,,,,,,
,,,,"('2day', 'Perak')",1,,,"('4week', 'Johor')",1,,,"('7mth', 'Kedah')",1,,,,,"('4day', 'Kelantan')",1,"('4day', 'Perak')",1,"('6day', 'W.P. Kuala Lumpur')",1,"('7mth', 'Pahang')",1,,,,,,
,,,,"('2day', 'Pulau Pinang')",1,,,"('4week', 'Kedah')",1,,,"('7mth', 'Kelantan')",1,,,,,"('4day', 'Melaka')",1,"('4day', 'Perlis')",1,"('6day', 'W.P. Putrajaya')",1,"('7mth', 'Perlis')",13,,,,,,
,,,,"('2day', 'Sabah')",1,,,"('4week', 'Kelantan')",1,,,"('7mth', 'Melaka')",1,,,,,"('4day', 'Negeri Sembilan')",1,"('4day', 'Pulau Pinang')",1,"('6mth', 'Johor')",1,"('7mth', 'Pulau Pinang')",1,,,,,,
