Feature0,Ranking0,Feature1,Ranking1,Feature2,Ranking2,Feature3,Ranking3,Feature4,Ranking4,Feature5,Ranking5,Feature6,Ranking6,Feature7,Ranking7,Feature8,Ranking8,Feature9,Ranking9,Feature10,Ranking10,Feature11,Ranking11,Feature12,Ranking12,Feature13,Ranking13,Feature14,Ranking14,Feature15,Ranking15
,,,,"('vent_used', 'Selangor')",65,"('vent_pui', 'Kedah')",8,"('vent', 'Negeri Sembilan')",2,"('icu_noncovid', 'W.P. Kuala Lumpur')",54,"('vent_port', 'Selangor')",11,,,"('vent_port', 'W.P. Kuala Lumpur')",75,"('vent_port', 'Sabah')",76,"('vent_port', 'Terengganu')",57,"('vent_port_used', 'W.P. Kuala Lumpur')",8,"('vent_pui', 'Sarawak')",53,"('icu_pui', 'Terengganu')",72,"('vent_port_used', 'W.P. Kuala Lumpur')",10,"('vent_port', 'Perak')",49
,,,,"('vent_used', 'W.P. Kuala Lumpur')",66,,,"('vent', 'Perak')",47,"('icu_pui', 'Johor')",23,"('vent_port', 'W.P. Kuala Lumpur')",20,,,"('vent_port_used', 'Negeri Sembilan')",99,"('vent_port', 'Selangor')",1,"('vent_port', 'W.P. Kuala Lumpur')",31,"('vent_pui', 'Sabah')",100,"('vent_used', 'Negeri Sembilan')",65,"('vent', 'Johor')",39,"('vent_pui', 'Kedah')",26,"('vent_port', 'Sarawak')",65
,,,,,,,,"('vent', 'Sabah')",31,"('icu_pui', 'Kelantan')",63,"('vent_port_used', 'Selangor')",63,,,"('vent_pui', 'Kedah')",18,"('vent_port', 'Terengganu')",6,"('vent_port_used', 'Johor')",56,"('vent_pui', 'Selangor')",90,"('vent_used', 'Sarawak')",68,"('vent', 'Perak')",100,"('vent_used', 'Pahang')",76,"('vent_port_used', 'Pahang')",51
,,,,,,,,"('vent', 'Selangor')",40,"('icu_pui', 'Melaka')",78,"('vent_port_used', 'W.P. Kuala Lumpur')",22,,,"('vent_used', 'W.P. Kuala Lumpur')",15,"('vent_port', 'W.P. Kuala Lumpur')",42,"('vent_port_used', 'Sarawak')",28,"('vent_pui', 'Terengganu')",94,"('vent_used', 'W.P. Kuala Lumpur')",11,"('vent', 'Sarawak')",84,"('vent_used', 'W.P. Kuala Lumpur')",5,"('vent_port_used', 'Sarawak')",93
,,,,,,,,"('vent', 'W.P. Kuala Lumpur')",1,"('icu_pui', 'Pulau Pinang')",49,"('vent_pui', 'Sabah')",88,,,,,"('vent_port', 'W.P. Labuan')",35,"('vent_port_used', 'Selangor')",11,"('vent_used', 'W.P. Kuala Lumpur')",22,,,"('vent_covid', 'Kedah')",60,,,"('vent_pui', 'Negeri Sembilan')",43
,,,,,,,,"('vent_covid', 'Sabah')",3,"('icu_pui', 'Sarawak')",96,"('vent_pui', 'Sarawak')",98,,,,,"('vent_port_used', 'Melaka')",63,"('vent_port_used', 'W.P. Kuala Lumpur')",30,,,,,"('vent_covid', 'Sabah')",65,,,"('vent_pui', 'Sarawak')",14
,,,,,,,,"('vent_covid', 'Sarawak')",86,"('icu_pui', 'W.P. Kuala Lumpur')",40,,,,,,,"('vent_port_used', 'Negeri Sembilan')",19,"('vent_pui', 'Kedah')",73,,,,,"('vent_port', 'Melaka')",1,,,"('vent_pui', 'Terengganu')",31
,,,,,,,,"('vent_covid', 'W.P. Labuan')",18,"('vent', 'Negeri Sembilan')",91,,,,,,,"('vent_port_used', 'Pahang')",75,,,,,,,"('vent_port', 'Pahang')",68,,,"('vent_used', 'Sabah')",4
,,,,,,,,"('vent_noncovid', 'Selangor')",55,"('vent', 'Sarawak')",65,,,,,,,"('vent_port_used', 'Sabah')",42,,,,,,,"('vent_port', 'Perak')",95,,,"('vent_used', 'W.P. Kuala Lumpur')",44
,,,,,,,,"('vent_port', 'Kedah')",85,"('vent', 'Terengganu')",83,,,,,,,"('vent_port_used', 'Selangor')",22,,,,,,,"('vent_port_used', 'W.P. Kuala Lumpur')",19,,,,
,,,,,,,,"('vent_port', 'Perlis')",41,"('vent', 'W.P. Kuala Lumpur')",86,,,,,,,"('vent_port_used', 'W.P. Kuala Lumpur')",2,,,,,,,,,,,,
,,,,,,,,"('vent_port', 'Terengganu')",46,"('vent_covid', 'Negeri Sembilan')",75,,,,,,,"('vent_pui', 'Perlis')",64,,,,,,,,,,,,
