Feature0,Ranking0,Feature1,Ranking1,Feature2,Ranking2,Feature3,Ranking3,Feature4,Ranking4,Feature5,Ranking5,Feature6,Ranking6,Feature7,Ranking7,Feature8,Ranking8,Feature9,Ranking9,Feature10,Ranking10,Feature11,Ranking11,Feature12,Ranking12,Feature13,Ranking13,Feature14,Ranking14,Feature15,Ranking15
"('cases_new', 'W.P. Kuala Lumpur')",26,,,"('cases_new', 'Pahang')",2,"('cases_new', 'Kedah')",20,"('6day', 'Sarawak')",26,"('4mth', 'Sabah')",1,"('7mth', 'Pahang')",25,,,"('cases_new', 'Pulau Pinang')",13,"('6mth', 'Sarawak')",2,"('7mth', 'Selangor')",24,"('9mth', 'Terengganu')",19,,,"('7mth', 'Negeri Sembilan')",15,"('6mth', 'Selangor')",2,"('9mth', 'Sarawak')",14
,,,,"('cases_new', 'Pulau Pinang')",1,,,"('6mth', 'Negeri Sembilan')",19,"('4week', 'Pahang')",2,"('7mth', 'Sarawak')",27,,,"('cases_new', 'Selangor')",2,"('6mth', 'Selangor')",29,"('7mth', 'W.P. Kuala Lumpur')",19,"('cases_new', 'Johor')",1,,,"('8mth', 'Johor')",26,"('6mth', 'W.P. Kuala Lumpur')",10,"('cases_new', 'Kedah')",2
,,,,"('cases_new', 'Selangor')",6,,,"('6mth', 'W.P. Labuan')",5,"('5day', 'Kedah')",2,"('8mth', 'Melaka')",23,,,"('cases_new', 'W.P. Kuala Lumpur')",7,"('6mth', 'Terengganu')",17,"('7mth', 'W.P. Putrajaya')",21,"('cases_new', 'Kedah')",27,,,"('cases_new', 'Johor')",19,"('7mth', 'Negeri Sembilan')",14,"('cases_new', 'Kelantan')",2
,,,,"('cases_new', 'Terengganu')",27,,,"('7mth', 'Negeri Sembilan')",1,"('5day', 'Kelantan')",3,"('9mth', 'Kelantan')",24,,,,,"('6mth', 'W.P. Putrajaya')",6,"('8mth', 'Sarawak')",22,"('cases_new', 'Sabah')",17,,,"('cases_new', 'Melaka')",6,"('cases_new', 'Pulau Pinang')",2,"('cases_new', 'Melaka')",12
,,,,"('cases_new', 'W.P. Kuala Lumpur')",30,,,"('7mth', 'Pahang')",2,"('5day', 'Pahang')",1,"('9mth', 'Sarawak')",17,,,,,"('7mth', 'Johor')",2,"('8mth', 'Terengganu')",17,"('cases_new', 'Selangor')",11,,,"('cases_new', 'Perak')",28,"('cases_new', 'Sabah')",17,"('cases_new', 'Negeri Sembilan')",9
,,,,,,,,"('8mth', 'Johor')",1,"('5day', 'Pulau Pinang')",28,"('cases_new', 'Kelantan')",28,,,,,"('7mth', 'Kedah')",3,"('cases_new', 'Melaka')",21,"('cases_new', 'W.P. Kuala Lumpur')",9,,,"('cases_new', 'Pulau Pinang')",24,"('cases_new', 'Selangor')",8,"('cases_new', 'Selangor')",19
,,,,,,,,"('8mth', 'Kedah')",10,"('5day', 'Terengganu')",2,"('cases_new', 'Melaka')",2,,,,,"('7mth', 'Kelantan')",12,"('cases_new', 'Selangor')",18,"('cases_new', 'W.P. Putrajaya')",2,,,"('cases_new', 'Sarawak')",9,"('cases_new', 'W.P. Kuala Lumpur')",12,"('cases_new', 'W.P. Kuala Lumpur')",2
,,,,,,,,"('8mth', 'Kelantan')",1,"('5day', 'W.P. Kuala Lumpur')",1,"('cases_new', 'Negeri Sembilan')",11,,,,,"('7mth', 'Pahang')",17,"('cases_new', 'W.P. Kuala Lumpur')",1,,,,,"('cases_new', 'W.P. Kuala Lumpur')",23,,,,
,,,,,,,,"('8mth', 'Melaka')",4,"('5day', 'W.P. Labuan')",7,"('cases_new', 'Perak')",2,,,,,"('7mth', 'Perak')",20,,,,,,,,,,,,
,,,,,,,,"('8mth', 'Perak')",1,"('5day', 'W.P. Putrajaya')",24,,,,,,,"('7mth', 'Pulau Pinang')",28,,,,,,,,,,,,
,,,,,,,,"('8mth', 'Perlis')",9,"('6day', 'W.P. Labuan')",20,,,,,,,"('7mth', 'Sabah')",3,,,,,,,,,,,,
,,,,,,,,"('8mth', 'Pulau Pinang')",14,"('7mth', 'W.P. Kuala Lumpur')",22,,,,,,,"('7mth', 'Sarawak')",26,,,,,,,,,,,,
,,,,,,,,"('8mth', 'Sabah')",11,"('8mth', 'Negeri Sembilan')",30,,,,,,,"('7mth', 'Selangor')",14,,,,,,,,,,,,
,,,,,,,,"('8mth', 'Sarawak')",1,"('9mth', 'Kelantan')",7,,,,,,,"('7mth', 'Terengganu')",26,,,,,,,,,,,,
,,,,,,,,"('8mth', 'Selangor')",1,"('9mth', 'Negeri Sembilan')",2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"('8mth', 'W.P. Labuan')",2,"('9mth', 'Pahang')",1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"('cases_new', 'Melaka')",2,"('9mth', 'Sabah')",2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"('cases_new', 'Negeri Sembilan')",1,"('9mth', 'W.P. Kuala Lumpur')",1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"('cases_new', 'Selangor')",22,"('cases_new', 'Kedah')",1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"('cases_new', 'W.P. Kuala Lumpur')",1,"('cases_new', 'Terengganu')",21,,,,,,,,,,,,,,,,,,,,
